case_id,activity,timestamp,type
case_3,End,2024-12-01 11:00:16,end
case_4,Start,2024-12-01 12:00:00,start
case_4,Parallel_4,2024-12-01 12:00:02,parallel
case_4,Parallel_8,2024-12-01 12:00:01,parallel
case_4,Parallel_6,2024-12-01 12:00:04,parallel
case_4,Parallel_9,2024-12-01 12:00:03,parallel
case_4,Parallel_1,2024-12-01 12:00:01,parallel
case_4,Parallel_3,2024-12-01 12:00:03,parallel
case_4,Parallel_5,2024-12-01 12:00:03,parallel
case_4,Parallel_2,2024-12-01 12:00:04,parallel
case_4,Parallel_7,2024-12-01 12:00:04,parallel
case_4,Cyclic_1,2024-12-01 12:00:09,cyclic
case_4,Async_Call_Start,2024-12-01 12:00:12,async
case_4,Async_Call_End,2024-12-01 12:00:14,async
case_4,End,2024-12-01 12:00:13,end
case_5,Start,2024-12-01 13:00:00,start
case_5,Parallel_9,2024-12-01 13:00:03,parallel
case_5,Parallel_7,2024-12-01 13:00:00,parallel
case_5,Parallel_4,2024-12-01 13:00:01,parallel
case_5,Parallel_5,2024-12-01 13:00:02,parallel
case_5,Parallel_8,2024-12-01 13:00:03,parallel
case_5,Parallel_6,2024-12-01 13:00:02,parallel
case_5,Parallel_2,2024-12-01 13:00:00,parallel
case_5,Parallel_3,2024-12-01 13:00:01,parallel
case_5,Parallel_1,2024-12-01 13:00:00,parallel
case_5,Cyclic_1,2024-12-01 13:00:08,cyclic
case_5,Async_Call_Start,2024-12-01 13:00:09,async
case_5,Async_Call_End,2024-12-01 13:00:09,async
case_5,End,2024-12-01 13:00:09,end
case_6,Start,2024-12-01 14:00:00,start
case_6,Parallel_6,2024-12-01 14:00:03,parallel
case_6,Parallel_8,2024-12-01 14:00:02,parallel
case_6,Parallel_9,2024-12-01 14:00:01,parallel
case_6,Parallel_4,2024-12-01 14:00:02,parallel
case_6,Parallel_3,2024-12-01 14:00:01,parallel
case_6,Parallel_7,2024-12-01 14:00:03,parallel
case_6,Parallel_5,2024-12-01 14:00:01,parallel
case_6,Parallel_1,2024-12-01 14:00:01,parallel
case_6,Parallel_2,2024-12-01 14:00:01,parallel
case_6,Cyclic_1,2024-12-01 14:00:11,cyclic
case_6,Cyclic_2,2024-12-01 14:00:14,cyclic
case_6,Cyclic_3,2024-12-01 14:00:18,cyclic
case_6,Async_Call_Start,2024-12-01 14:00:18,async
case_6,Async_Call_End,2024-12-01 14:00:18,async
case_6,End,2024-12-01 14:00:18,end
case_7,Start,2024-12-01 15:00:00,start
case_7,Parallel_4,2024-12-01 15:00:02,parallel
case_7,Parallel_2,2024-12-01 15:00:02,parallel
case_7,Parallel_8,2024-12-01 15:00:02,parallel
case_7,Parallel_3,2024-12-01 15:00:04,parallel
case_7,Parallel_6,2024-12-01 15:00:02,parallel
case_7,Parallel_5,2024-12-01 15:00:04,parallel
case_7,Parallel_7,2024-12-01 15:00:01,parallel
case_7,Parallel_1,2024-12-01 15:00:01,parallel
case_7,Parallel_9,2024-12-01 15:00:03,parallel
case_7,Cyclic_1,2024-12-01 15:00:09,cyclic
case_7,Cyclic_2,2024-12-01 15:00:13,cyclic
case_7,Async_Call_Start,2024-12-01 15:00:17,async
case_7,Async_Call_End,2024-12-01 15:00:17,async
case_7,End,2024-12-01 15:00:16,end
case_8,Start,2024-12-01 16:00:00,start
case_8,Parallel_9,2024-12-01 16:00:05,parallel
case_8,Parallel_2,2024-12-01 16:00:02,parallel
case_8,Parallel_6,2024-12-01 16:00:02,parallel
case_8,Parallel_1,2024-12-01 16:00:02,parallel
case_8,Parallel_8,2024-12-01 16:00:05,parallel
case_8,Parallel_5,2024-12-01 16:00:04,parallel
case_8,Parallel_4,2024-12-01 16:00:04,parallel
case_8,Parallel_3,2024-12-01 16:00:03,parallel
case_8,Parallel_7,2024-12-01 16:00:02,parallel
case_8,Cyclic_1,2024-12-01 16:00:05,cyclic
case_8,Cyclic_2,2024-12-01 16:00:06,cyclic
case_8,Async_Call_Start,2024-12-01 16:00:10,async
case_8,Async_Call_End,2024-12-01 16:00:13,async
case_8,End,2024-12-01 16:00:09,end
case_9,Start,2024-12-01 17:00:00,start
case_9,Parallel_7,2024-12-01 17:00:05,parallel
case_9,Parallel_8,2024-12-01 17:00:05,parallel
case_9,Parallel_4,2024-12-01 17:00:02,parallel
case_9,Parallel_3,2024-12-01 17:00:04,parallel
case_9,Parallel_9,2024-12-01 17:00:04,parallel
case_9,Parallel_1,2024-12-01 17:00:05,parallel
case_9,Parallel_2,2024-12-01 17:00:03,parallel
case_9,Parallel_5,2024-12-01 17:00:04,parallel
case_9,Parallel_6,2024-12-01 17:00:03,parallel
case_9,Cyclic_1,2024-12-01 17:00:07,cyclic
case_9,Cyclic_2,2024-12-01 17:00:10,cyclic
case_9,Cyclic_3,2024-12-01 17:00:11,cyclic
case_9,Async_Call_Start,2024-12-01 17:00:16,async
case_9,Async_Call_End,2024-12-01 17:00:18,async
case_9,Error_Handler,2024-12-01 17:00:14,error
case_9,End,2024-12-01 17:00:16,end
case_10,Start,2024-12-01 18:00:00,start
case_10,Parallel_4,2024-12-01 18:00:04,parallel
case_10,Parallel_8,2024-12-01 18:00:01,parallel
case_10,Parallel_6,2024-12-01 18:00:04,parallel
case_10,Parallel_1,2024-12-01 18:00:04,parallel
case_10,Parallel_3,2024-12-01 18:00:01,parallel
case_10,Parallel_5,2024-12-01 18:00:03,parallel
case_10,Parallel_2,2024-12-01 18:00:04,parallel
case_10,Parallel_9,2024-12-01 18:00:04,parallel
case_10,Parallel_7,2024-12-01 18:00:02,parallel
case_10,Cyclic_1,2024-12-01 18:00:07,cyclic
case_10,Async_Call_Start,2024-12-01 18:00:11,async
case_10,Async_Call_End,2024-12-01 18:00:13,async
case_10,Error_Handler,2024-12-01 18:00:10,error
case_10,End,2024-12-01 18:00:08,end
